1,158507
2,160869
3,163892
4,176045
5,177588
6,201312
7,203912
8,205416
9,205610
10,206129
11,206689
12,207673
13,207963
14,209352
15,212021
16,212126
17,212394
18,212876
19,212921
20,212958
21,213076
22,216013
23,216036
24,216807
25,216817
26,217742
27,217762
28,217778
29,218118
30,218417
31,218465
32,218751
33,218789
34,219249
35,219259
36,219422
37,219800
38,219874
39,219993
40,220046
41,220247
42,220272
43,220561
44,220561
45,220574
46,220987
47,221027
48,221027
49,222453
50,222499
51,222511
52,222612
53,222978
54,223125
55,223152
56,223556
57,223648
58,223654
59,223672
60,223673
61,223673
62,223787
63,223795
64,223869
65,223869
66,224453
67,224453
68,224453
69,225046
70,225046
71,225049
72,225049
73,225066
74,225094
75,225099
76,225101
77,225222
78,225301
79,225303
80,225303
81,225750
82,225757
83,227525
84,227557
85,227641
86,227641
87,227652
88,227912
89,227938
90,227938
91,227967
92,227967
93,227988
94,228069
95,228078
96,228078
97,228262
98,228262
99,228262
100,228285
